price_bin,cart_products,purchase_products,explicit_abandon_products,implicit_abandon_products,cart_to_purchase_rate,explicit_abandon_rate,implicit_abandon_rate
0,349086,48741,49587,248422,13.96,14.20,71.16
1,401709,52502,68627,277888,13.07,17.08,69.18
2,392431,47050,79551,262318,11.99,20.27,66.84
3,364522,42024,76974,242222,11.53,21.12,66.45
4,298156,33743,63091,198353,11.32,21.16,66.53
5,241841,29461,47893,162240,12.18,19.80,67.09
6,130529,16065,27410,85943,12.31,21.00,65.84
7,90122,11309,18445,59631,12.55,20.47,66.17
8,38941,4889,8279,25444,12.55,21.26,65.34
9,64111,8075,14488,41066,12.60,22.60,64.05
10,60028,8177,11710,39424,13.62,19.51,65.68
11,23122,3231,4599,15103,13.97,19.89,65.32
12,14580,2121,3060,9272,14.55,20.99,63.59
13,18312,2562,3734,11872,13.99,20.39,64.83
14,18886,2431,4128,12179,12.87,21.86,64.49
15,21218,3144,4277,13604,14.82,20.16,64.12
16,9493,1300,1849,6271,13.69,19.48,66.06
17,7266,1046,1400,4754,14.40,19.27,65.43
18,7513,1198,1465,4779,15.95,19.50,63.61
19,12349,1938,2384,7902,15.69,19.31,63.99
20,5660,877,1167,3578,15.49,20.62,63.22
21,4060,504,859,2675,12.41,21.16,65.89
22,4601,780,807,2976,16.95,17.54,64.68
23,5308,684,1112,3468,12.89,20.95,65.34
24,3021,343,619,2036,11.35,20.49,67.39
25,2927,374,608,1930,12.78,20.77,65.94
26,3577,552,674,2310,15.43,18.84,64.58
27,1132,151,202,771,13.34,17.84,68.11
28,2724,305,575,1827,11.20,21.11,67.07
29,2196,353,414,1411,16.07,18.85,64.25
30,2223,306,434,1464,13.77,19.52,65.86
31,1652,220,277,1145,13.32,16.77,69.31
32,474,45,109,318,9.49,23.00,67.09
33,920,120,191,602,13.04,20.76,65.43
