user_group,session_hour,session_day,session_count,avg_cart_value,avg_product_count,avg_price_per_item,avg_session_duration_min
purchase,04,Sunday,112,51.19,8.54,9.66,47.88
purchase,04,Wednesday,183,45.88,8.04,9.51,40.67
implicit_abandon,04,Friday,971,24.58,3.82,8.96,34.72
implicit_abandon,04,Monday,853,26.56,4.33,10.12,34.40
implicit_abandon,04,Saturday,662,25.59,3.80,9.61,16.01
implicit_abandon,04,Tuesday,1027,20.11,3.42,8.24,32.19
implicit_abandon,04,Sunday,611,23.35,3.95,9.64,14.39
implicit_abandon,04,Thursday,1040,21.23,3.51,8.04,20.71
implicit_abandon,04,Wednesday,977,22.95,4.07,9.12,16.86
explicit_abandon,04,Sunday,278,42.02,8.27,8.97,39.68
explicit_abandon,04,Thursday,435,44.05,7.28,10.13,60.55
explicit_abandon,04,Tuesday,451,51.96,7.14,12.21,57.37
explicit_abandon,04,Wednesday,397,42.74,7.63,8.23,40.73
explicit_abandon,04,Monday,384,47.04,8.46,10.5,104.47
explicit_abandon,04,Friday,400,52.43,7.49,11.69,73.82
explicit_abandon,04,Saturday,283,44.42,7.01,9.74,67.17
no_cart,05,Friday,248,32.82,6.09,6.28,77.08
no_cart,05,Monday,255,32.26,6.49,5.96,69.83
no_cart,05,Saturday,173,27.93,5.82,5.68,38.64
no_cart,05,Sunday,168,32.66,6.34,6.72,35.32
no_cart,05,Thursday,243,33.69,6.41,6.19,66.41
no_cart,05,Tuesday,266,27.87,5.13,7.15,44.28
no_cart,05,Wednesday,244,31.12,6.39,6.63,30.26
purchase,05,Friday,284,51.15,7.56,10.98,55.01
purchase,05,Monday,342,44.76,6.73,9.79,50.14
purchase,05,Saturday,226,47.84,8.16,9.84,38.27
purchase,05,Wednesday,363,36.23,5.87,9.5,37.70
purchase,05,Sunday,193,47.06,7.91,10.28,52.94
purchase,05,Thursday,357,42.51,6.61,10.64,38.79
purchase,05,Tuesday,404,42.02,6.83,9.12,44.03
implicit_abandon,05,Friday,1429,20.33,3.29,9.05,30.91
implicit_abandon,05,Monday,1387,20,3.44,8.81,27.73
implicit_abandon,05,Saturday,956,24.51,3.76,9.81,19.18
implicit_abandon,05,Thursday,1487,21.34,3.60,7.6,24.75
implicit_abandon,05,Sunday,954,22.52,3.49,9.31,15.86
implicit_abandon,05,Tuesday,1503,23.19,3.81,8.63,23.98
implicit_abandon,05,Wednesday,1440,20.65,3.79,8.56,14.34
explicit_abandon,05,Friday,621,47.74,8.25,8.31,59.67
explicit_abandon,05,Monday,632,43.61,7.79,9.31,67.63
explicit_abandon,05,Saturday,461,47.65,7.87,10.97,44.96
explicit_abandon,05,Sunday,359,44.82,7.73,10.88,33.68
explicit_abandon,05,Thursday,620,43.32,7.03,9.42,54.19
explicit_abandon,05,Wednesday,621,42.75,7.97,8.68,38.90
explicit_abandon,05,Tuesday,660,42.44,7.29,9.6,67.86
no_cart,06,Thursday,306,26.57,5.29,6.74,52.63
no_cart,06,Tuesday,367,31.58,4.99,6.72,49.88
no_cart,06,Friday,300,26.84,5.13,6.88,52.65
no_cart,06,Wednesday,290,46.77,8.54,5.94,47.45
no_cart,06,Saturday,200,30.52,5.73,6.94,52.48
no_cart,06,Sunday,211,31.18,5.96,5.9,48.58
no_cart,06,Monday,320,26.71,5.07,8.31,74.95
purchase,06,Friday,474,41.04,6.23,12.05,52.28
purchase,06,Thursday,510,38.14,6.16,9.61,54.69
purchase,06,Monday,488,42.26,5.98,10.74,55.93
purchase,06,Tuesday,588,39.05,6.22,9.03,40.23
purchase,06,Sunday,282,44.8,6.66,10.68,37.23
purchase,06,Saturday,299,45.73,6.98,11.17,36.52
purchase,06,Wednesday,531,43.17,6.26,12.48,44.86
implicit_abandon,06,Wednesday,1889,20.08,3.16,8.91,15.81
implicit_abandon,06,Friday,1919,19.98,2.97,8.75,33.33
implicit_abandon,06,Monday,1842,20.43,2.99,9.62,28.35
implicit_abandon,06,Saturday,1278,22.04,3.59,9.51,20.81
implicit_abandon,06,Tuesday,1965,19.18,2.91,9.09,23.21
implicit_abandon,06,Thursday,1991,19.69,2.99,9.89,25.43
implicit_abandon,06,Sunday,1251,22.03,3.83,8.84,13.84
explicit_abandon,06,Friday,793,40.34,7.71,7.97,71.65
explicit_abandon,06,Sunday,610,45.57,7.83,8.34,38.35
explicit_abandon,06,Tuesday,868,41.97,7.20,8.56,59.61
explicit_abandon,06,Wednesday,784,42.33,7.18,8.71,41.14
explicit_abandon,06,Thursday,844,47.12,8.32,9.2,57.70
explicit_abandon,06,Monday,830,44.28,7.56,9.6,71.14
explicit_abandon,06,Saturday,594,46.96,8.15,8.9,57.95
no_cart,07,Friday,321,29.56,5.31,7.02,67.64
no_cart,07,Tuesday,359,27.92,6.31,5.52,48.47
no_cart,07,Sunday,260,26.87,4.78,7.39,30.32
no_cart,07,Monday,367,33.62,7.41,5.47,83.59
no_cart,07,Wednesday,309,33.07,5.83,7.95,40.81
no_cart,07,Saturday,237,30.98,5.91,7.96,41.13
no_cart,07,Thursday,322,28.93,6.02,7.32,48.53
purchase,07,Wednesday,589,40.54,5.76,9.95,36.68
purchase,07,Tuesday,704,42.42,6.12,13.31,44.70
purchase,07,Friday,625,40.37,5.92,11.13,48.06
purchase,07,Monday,650,40.46,6.24,9.92,53.45
purchase,07,Sunday,405,45.06,6.67,10.78,37.63
purchase,07,Saturday,428,38.59,5.88,11.03,39.96
purchase,07,Thursday,650,43.12,6.39,10.81,50.33
implicit_abandon,07,Monday,2273,20.29,3.23,8.76,24.84
implicit_abandon,07,Saturday,1574,19.7,3.13,8.79,21.24
implicit_abandon,07,Sunday,1675,19.43,3.01,8.91,12.63
implicit_abandon,07,Thursday,2369,18.37,3.02,7.96,20.42
implicit_abandon,07,Tuesday,2391,17.9,2.89,8.41,20.05
implicit_abandon,07,Friday,2154,18.82,3.04,8.87,29.54
implicit_abandon,07,Wednesday,2289,18.81,2.91,9.1,13.13
explicit_abandon,07,Thursday,980,41.36,7.44,8.84,57.68
explicit_abandon,07,Monday,1026,41.07,6.69,10.16,61.78
explicit_abandon,07,Sunday,735,46.75,8.18,9.39,44.86
explicit_abandon,07,Wednesday,988,42.38,7.06,10.92,36.77
explicit_abandon,07,Tuesday,966,40.74,6.87,9.57,51.33
explicit_abandon,07,Saturday,722,49.14,7.71,12.31,57.20
explicit_abandon,07,Friday,878,41.27,6.32,12.6,71.64
no_cart,08,Tuesday,392,30.54,6.03,6.19,49.73
no_cart,08,Wednesday,354,27.56,5.75,6.38,30.27
no_cart,08,Friday,298,35.78,6.49,5.8,72.68
no_cart,08,Thursday,341,30.22,5.80,6.16,39.77
no_cart,08,Saturday,259,30.36,5.66,8.36,47.69
no_cart,08,Sunday,244,31.01,5.77,7.48,38.21
no_cart,08,Monday,333,33.64,5.65,6.62,55.00
purchase,08,Friday,658,39.86,6.17,11.42,45.10
purchase,08,Monday,698,41.64,5.94,12.35,44.24
purchase,08,Saturday,488,42.52,6.47,10.89,47.44
purchase,08,Sunday,504,44.36,6.89,9.42,43.95
purchase,08,Wednesday,712,35.37,5.64,10.41,35.12
purchase,08,Thursday,673,44.68,6.46,10.78,46.73
purchase,08,Tuesday,686,43.29,6.28,12.38,39.65
implicit_abandon,08,Friday,2343,20.51,2.88,8.78,22.18
implicit_abandon,08,Monday,2510,19.16,2.87,9.33,29.57
implicit_abandon,08,Thursday,2443,17.55,2.95,8.35,18.75
implicit_abandon,08,Tuesday,2524,20.2,3.10,8.99,18.61
implicit_abandon,08,Wednesday,2404,19.84,2.75,9.99,13.03
implicit_abandon,08,Sunday,1887,19.71,2.90,9.58,13.73
implicit_abandon,08,Saturday,1826,19.73,3.00,9.29,19.61
